idCompetencia,titCompetencia,dsCompetencia,tipoCompetencia,AtivaCompetencia,DesatiCompetencia,idCompetenciaAnterior,idCicloCompetencia,nivelProcesso,versaoCadeia,idSubProcesso,idProcesso,idMacroprocesso,titSubProcesso,dsSubProcesso,titProcesso,dsProcesso,titMacroprocesso,dsMacroprocesso,uaGestoraSubProcesso,uaGestoraProcesso,siglaMacroprocesso,idSubProcessoAnterior,idProcessoAnterior,idMacroprocessoAnterior,DesativacaoSuprocesso,Desativacaoprocesso,DesativacaoMacroprocesso
20106,Gestão dos Benefícios Fiscais,"Gerir atividades relacionadas com a concessão, acompanhamento, controle, utilização e destinação de benefícios fiscais.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020100,20100,20000,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20105,Depósitos Administrativos e Judiciais,"Controlar, de maneira ágil, o fluxo de receitas, oriundo de depósitos judiciais e administrativos, observada a legislação aplicável.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020100,20100,20000,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20103,Classificação das Receitas,Garantir a correta distribuição dos recursos arrecadados aos seus destinatários legais a partir da classificação sistemática de receitas.,Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020100,20100,20000,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
10201,Estudos Econômico-Tributários ,"Realizar estudos econômico-tributários e relativos ao comércio exterior, avaliando os seus impactos em matérias de interesse da Fazenda Pública, para orientar a formulação da política tributária e aduaneira e decisões administrativas. ",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,010200,10200,10000,Subsidiar a formulação da política tributária e do comércio exterior,Subsidiar a formulação da política tributária e do comércio exterior,Subsidiar a formulação da política tributária e do comércio exterior,Subsidiar a formulação da política tributária e do comércio exterior,Políticas Institucionais,Políticas Institucionais,0000000,0000000,POLIN,0,0,0,23/11/2014,23/11/2014,23/11/2014
20104,Retificação de Pagamentos,"Promover a exatidão dos dados na base de pagamentos, de forma a refletir o correto cumprimento da obrigação tributária pelo contribuinte, observando as normas vigentes.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020100,20100,20000,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20102,Gerenciamento da Rede Arrecadadora,"Controlar a rede arrecadadora de receitas federais, aferindo o correto cumprimento do contrato.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020100,20100,20000,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20101,Gestão da Automação Bancária,"Estabelecer e acompanhar regras consistentes de validação de documentos de arrecadação, buscando minimizar as inconsistências dos pagamentos realizados.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020100,20100,20000,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
10101,Previsão de Receitas ,"Elaborar e consolidar, anualmente, a estimativa das receitas administradas, destinada à elaboração da Lei de Diretrizes Orçamentárias (LDO) e do Orçamento Geral da União (OGU).",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,010100,10100,10000,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Políticas Institucionais,Políticas Institucionais,0000000,0000000,POLIN,0,0,0,23/11/2014,23/11/2014,23/11/2014
10102,Acompanhamento da Renúncia Fiscal,"Acompanhar as receitas estimadas que forem objeto de renúncia fiscal, estimando seus impactos na execução orçamentária, para efeito de cumprimento da Lei de Responsabilidade Fiscal.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,010100,10100,10000,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Políticas Institucionais,Políticas Institucionais,0000000,0000000,POLIN,0,0,0,23/11/2014,23/11/2014,23/11/2014
10103,Acompanhamento da Arrecadação,"Acompanhar e diagnosticar, na periodicidade adequada, o comportamento da arrecadação realizada pela RFB.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,010100,10100,10000,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Políticas Institucionais,Políticas Institucionais,0000000,0000000,POLIN,0,0,0,23/11/2014,23/11/2014,23/11/2014
10104,Divulgação da Arrecadação ,"Disseminar estatísticas e análises sobre o comportamento da arrecadação, de forma a atender as expectativas do público-alvo, considerando o sigilo fiscal.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,010100,10100,10000,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Acompanhar e avaliar a performance econômico-tributária e realizar a previsão da arrecadação,Políticas Institucionais,Políticas Institucionais,0000000,0000000,POLIN,0,0,0,23/11/2014,23/11/2014,23/11/2014
20313,Informações Fiscais,"Prestar informações a órgãos externos sobre a situação fiscal e cadastral do contribuinte, de forma clara, objetiva e tempestiva,. ",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20314,Controle do Crédito Subjúdice,Acompanhar e analisar tempestivamente os processos judiciais que envolvam créditos tributários.,Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20315,Acompanhamento dos Débitos Exigíveis em Decorrência de Créditos Não Reconhecidos,Acompanhar sistematicamente e cobrar os débitos relacionados ao não reconhecimento do direito creditório.,Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20401,Reconhecimento do Direito Creditório,"Desenvolver e implementar metodologia de reconhecimento de direito creditório, adotando critérios de priorização.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020400,20400,20000,"Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento",Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20402,Gestão dos Grandes Detentores de Créditos,"Realizar a gestão dos grandes detentores de créditos, com a finalidade de mapear possíveis distorções na legislação ou procedimentos internos da RFB.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020400,20400,20000,"Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento",Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20403,Análise do Direito Creditório,"Proceder ao reconhecimento do direito creditório em compensação e em pedidos de restituição, ressarcimento e reembolso, de modo criterioso e eficiente, minimizando a necessidade de intervenções manuais.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020400,20400,20000,"Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento",Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20404,Controle do Crédito Reconhecido,"Controlar os créditos reconhecidos ou não, buscando a correta valoração, efetivando a compensação e o pagamento da restituição, do ressarcimento e do reembolso.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020400,20400,20000,"Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento",Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20405,Orientação às Unidades Descentralizadas,"Orientar, sistematicamente, as unidades descentralizadas, visando à correta operacionalização dos sistemas de controle dos créditos a que o contribuinte faz jus.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020400,20400,20000,"Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento",Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20406,Gestão de Sistemas e Procedimentos,Gerir sistemas e procedimentos que permitam facilitar o controle do direito creditório reconhecido,Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020400,20400,20000,"Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento","Gerenciar restituição, compensação e ressarcimento",Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20501,Garantia do Crédito Tributário,"Identificar, disseminar e implementar, tempestivamente, medidas para garantir o crédito tributário.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020500,20500,20000,Atuar na garantia do crédito tributário,Atuar na garantia do crédito tributário,Atuar na garantia do crédito tributário,Atuar na garantia do crédito tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
30101,Seleção de Contribuintes,"Estabelecer metodologia e selecionar sujeitos passivos e intervenientes de comércio exterior para fiscalização, de modo impessoal, descrevendo os indícios objetivamente, conforme as diretrizes nacionais, inclusive com pesquisa de dados obtidos a partir de",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30102,Análise e Encaminhamento de Demandas,"Examinar criteriosamente os pedidos de informações relacionadas à fiscalização e os pedidos de análise de interesse fiscal, propondo o devido encaminhamento.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30103,Identificação dos Contribuintes Diferenciados,"Identificar, periodicamente, os contribuintes passíveis de controle diferenciado em função de seu potencial econômico-tributário.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30104,Acompanhamento das Distorções,"Atuar conclusivamente sobre as distorções efetivas e potenciais do comportamento econômico-tributário dos contribuintes diferenciados, conforme diretrizes nacionais, regionais e locais.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30105,Acompanhamento do Passivo Tributário,"Atuar sistematicamente sobre o passivo tributário dos contribuintes diferenciados, visando a sua redução.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30106,Acompanhamento do Setor Econômico,"Identificar e acompanhar, a partir de estudo comparativo de seu setor econômico, contribuintes que apresentem desvios de comportamento econômico-tributário.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30107,Visão Integral do Contribuinte,"Construir a visão integral do contribuinte, analisando seu comportamento, nos períodos mais recentes.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30108,Pesquisa e Seleção Aduaneira,"Identificar intervenientes no comércio exterior com maior probabilidade de ocorrência de infrações, para fins de fiscalização, baseado em pesquisas de dados obtidos a partir de fontes internas e externas.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030100,30100,30000,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Realizar pesquisa e seleção,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30201,Gestão da Fiscalização,"Planejar e gerir as atividades de fiscalização, com base em critérios técnicos e impessoais, objetivando o incremento da percepção de risco.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030200,30200,30000,Planejar a execução da fiscalização,Planejar a execução da fiscalização,Planejar a execução da fiscalização,Planejar a execução da fiscalização,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30202,Preparo do Procedimento Fiscal,"Preparar o procedimento fiscal, com impessoalidade, reunindo todas as informações relevantes relacionadas ao contribuinte e à operação fiscal.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030200,30200,30000,Planejar a execução da fiscalização,Planejar a execução da fiscalização,Planejar a execução da fiscalização,Planejar a execução da fiscalização,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30301,Fiscalização da Pessoa Física,"Fiscalizar a pessoa física a partir dos indícios apurados na seleção, seguindo as normas e os procedimentos estabelecidos para a fiscalização.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030300,30300,30000,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30302,Fiscalização da Pessoa Jurídica,"Fiscalizar a pessoa jurídica a partir dos indícios apurados na seleção, seguindo as normas e os procedimentos estabelecidos para a fiscalização.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030300,30300,30000,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30303,Revisão de Declaração de IRPF,"Revisar declarações de IRPF, verificando as irregularidades detectadas na parametrização, respeitadas as regras nacionais.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030300,30300,30000,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
30304,Revisão de Declaração de ITR,"Revisar declarações de ITR, verificando as irregularidades detectadas na parametrização, respeitadas as regras nacionais.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,030300,30300,30000,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Executar a fiscalização,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,Fiscalização e Combate aos Ilícitos Tributários e Aduaneiros,0000000,0000000,FCITA,0,0,0,23/11/2014,23/11/2014,23/11/2014
